MicroRNA	Sample_P004	Sample_P018	Sample_P010	Sample_P020	Sample_P015	Sample_P005	Sample_P007	Sample_P011	Sample_P009	Sample_P001	Sample_P006	Sample_P016	Sample_P019	Sample_P013	Sample_P012	Sample_P014	Sample_P017	Sample_P003	Sample_P002	Sample_P008
hsa-let-7a-3p	9	131	158	62	14	11	11	76.5	57	4	59	87	15	65	34	27.5	41	15	36	10
hsa-miR-380-5p				1									1			1				
hsa-miR-3691-5p			5					1					1		1	1	4			
hsa-miR-19b-1-5p	1	3	8			1		2			3	5	1	5		1	1		2	1
hsa-miR-4488	17	13	55	26	34	27	14	19	15	36	17	15	23	9	52	37	27	19	20	18
hsa-miR-500a-5p	1.5	15.5	34.3333333333333	8.5	10.5	8.5	3.5	27	22		14.5	18.5	7.5	34.5	9	17.5	36	16.5	21.5	4
hsa-miR-744-5p	111	174	200	209	63	223	142	249	157	45	197	129	139	326	137	246	209	201	195	97
hsa-miR-532-3p	33	46	55	96	27	93	38	127	46	12	57	55	29	126	62	176	85	100	106	35
hsa-miR-6813-3p				1									1				1	1		1
hsa-miR-26a-2-3p		2	12	2				7	2		2	10	1	5	2	2	6	2	4	
hsa-miR-3605-3p	1	3	2	10	1	9	1	5	5	1	4	3		2	4	7	9	7	1	
hsa-miR-34a-3p		25	11	19	6	5	2	6	7		13	13	7	25	3	6	13	4	5	2
hsa-miR-4677-3p	1	21	31	30	1	5	2	18	19	5	7	11	7	17	7	4	6		4	1
hsa-miR-758-3p	2	19	8	21	6	3	1	12	13		10	10	23	37	5	6	22	3	7	2
hsa-miR-4274			1								1				1					
hsa-miR-3150b-3p	2	2	1	1	2		3	2	1			3	1	3	5	1	1	2	1	
hsa-miR-4797-3p		1	1											1						1
hsa-miR-598-5p						1											1			
hsa-miR-548ar-3p								1												
hsa-miR-4690-3p						1														
hsa-miR-202-5p				2					1			3								
hsa-miR-4638-5p								4				1					1			
hsa-miR-4300		1																		1
hsa-miR-378d	12.6666666666667	142.916666666667	81.4166666666667	63.3333333333333	14	27.8333333333333	17.6666666666667	111	29.9166666666667	2.5	173.666666666667	153.583333333333	8	202.083333333333	103.5	19.5833333333333	357.583333333333	95.4166666666667	40	10.5
hsa-miR-6868-3p														1	1			1		
hsa-miR-6511a-5p				0.5		0.5	0.5	1				0.5		0.5	0.5		0.5	1.5		
