mirID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
hsa-miR-129-2-3p,8.05188192706533,-2.3423901853863107,0.6526545247525483,-3.5890200658218374,3.319232949693924e-4,0.13375275322423008
hsa-miR-149-5p,395.06497294228745,-0.8446525974750699,0.2540204934862863,-3.325135645091839,8.837552717982033e-4,0.13375275322423008
hsa-miR-320b,143.98782414916604,-1.4715072057584655,0.4429286073414498,-3.3222220948670707,8.930358069337676e-4,0.13375275322423008
hsa-miR-210-5p,16.050761308946004,-1.2874177601188546,0.4048610874852823,-3.1798999704204847,0.001473258984309689,0.13375275322423008
hsa-miR-320a,2371.009004821948,-1.0156637290748438,0.3219550920837371,-3.1546751520571705,0.0016067689967535139,0.13375275322423008
hsa-miR-3065-5p,9.530655882867485,-1.4883320281534635,0.4723551792505091,-3.1508747940797757,0.0016278225544531044,0.13375275322423008
hsa-miR-204-5p,544.1479743808629,-1.8269104591170968,0.5896742180839087,-3.0981691298179386,0.0019472026742784034,0.13713870263132183
hsa-miR-320c,31.72535568509082,-1.0362649772882537,0.347421312716332,-2.982732893345434,0.002856872005604919,0.17605473734540314
hsa-miR-143-3p,46645.11334648126,0.8403516702828973,0.2878677769919101,2.9192279839869455,0.0035089948961197596,0.19221494264300462
hsa-miR-3065-3p,10.463675106948116,-1.3629965259942547,0.472961498650434,-2.881833996812594,0.0039536796763735725,0.19491640804521712
hsa-miR-92a-3p,27837.68452169504,-0.7279270543369734,0.2558267894320571,-2.845390257810734,0.004435704103609354,0.19880019300721924
hsa-miR-7706,26.191906305759606,-0.6654347432107665,0.2391354883553882,-2.782668301502113,0.005391389443352078,0.20416079874221177
hsa-miR-744-5p,171.31397741587475,-0.7017741211206007,0.25327380473668815,-2.770812093458257,0.0055916685210026735,0.20416079874221177
hsa-let-7e-3p,19.096451301945237,-0.8595015365538123,0.3125333606447821,-2.750111331413036,0.005957501981713526,0.20416079874221177
hsa-miR-375,614.9115376592476,-1.9800396135980989,0.7249270581126759,-2.731363923362259,0.006307278144926044,0.20416079874221177
hsa-let-7d-3p,153.49115807201633,-0.6688158760555413,0.24633345589432828,-2.715083396314826,0.006625908275609307,0.20416079874221177
hsa-miR-28-5p,229.47787914964124,0.471746002638655,0.17596833261745806,2.6808573771293007,0.007343380624737107,0.2129580381173761
hsa-miR-1249,47.890918482162135,-1.348634724594838,0.5082344521125053,-2.653568090453454,0.00796456996917862,0.21814072193361445
hsa-miR-532-5p,427.9012697258607,0.406628355471871,0.15536509228615708,2.61724399920497,0.008864295201408879,0.22287217998250514
hsa-miR-758-3p,8.040947559889036,1.074509130308442,0.41515753760685664,2.5881961255054318,0.009648003072806279,0.22287217998250514
hsa-miR-424-5p,144.87706459347447,1.230012746931801,0.47714495962763626,2.5778596674094647,0.009941436234884327,0.22287217998250514
hsa-miR-1268b,7.128233637259562,-1.000054946964784,0.3879618800947911,-2.5777144566895065,0.009945614522545868,0.22287217998250514
hsa-miR-3168,38.4293322273624,-0.984602624731506,0.3862946729556867,-2.5488382151323465,0.010808242762316428,0.23167233399226084
hsa-miR-574-3p,847.4226692573578,-0.9661830039269301,0.3914043546600284,-2.468503460484366,0.013567934020621302,0.26533032514796173
hsa-miR-483-3p,20.69668412934339,-1.4083773079300363,0.5724665235299975,-2.4601915571334483,0.013886287658493741,0.26533032514796173
hsa-miR-423-3p,1223.8431806166861,-0.5150200574399848,0.21187833020588867,-2.430734926688935,0.015068233953798823,0.26533032514796173
hsa-miR-125a-5p,9892.412351946155,-0.9096231972473526,0.3751244812981694,-2.4248569277576277,0.01531442081012346,0.26533032514796173
hsa-miR-4532,1451.8865655976522,-1.1024685433374224,0.4558753325967483,-2.418355336441571,0.015590843541326699,0.26533032514796173
hsa-miR-197-3p,474.4782586655356,-0.9961665170523966,0.4183981675699437,-2.3809055446827867,0.01727013959578304,0.26533032514796173
hsa-miR-664a-3p,267.0070905700407,-0.918173755038684,0.3861727239329462,-2.3776245657321793,0.017424556598671256,0.26533032514796173
hsa-miR-6511b-3p,10.580664117936985,-1.263089846577438,0.5329633652021581,-2.3699374648355724,0.017791094122213108,0.26533032514796173
hsa-miR-2110,12.831546263523842,-0.9461684675548643,0.3997382235801574,-2.366970211356668,0.01793437624827975,0.26533032514796173
hsa-miR-335-5p,84.97720000474924,1.085218458563879,0.4598479082367611,2.3599508427145754,0.01827735681428821,0.26533032514796173
hsa-miR-296-5p,10.525325540567778,-1.0523759529937797,0.4460129148477835,-2.359519013822587,0.018298643113652535,0.26533032514796173
hsa-miR-3123,21.39258503887463,-0.8082147831598578,0.3443534154679991,-2.3470502886153763,0.018922700620828018,0.2665397544590918
hsa-miR-1306-5p,7.688613875889069,-1.2568042287817587,0.5430872299414944,-2.314184829787199,0.020657585747808273,0.2828941603797077
hsa-miR-6511a-3p,7.301442005267489,-1.337236050919214,0.5870897045979485,-2.2777371847032843,0.02274224085297335,0.28767491831621045
hsa-miR-483-5p,5.121823275967665,-1.6849056566676393,0.739839503775277,-2.2773934725975677,0.02276273954662533,0.28767491831621045
hsa-miR-423-5p,483.72774270031067,-0.5750015792332959,0.25308008855274666,-2.272014296033624,0.023085646879134034,0.28767491831621045
hsa-miR-450a-5p,6.777581326908775,1.2517008870006174,0.5527964690070009,2.264306950529319,0.023555242392271844,0.28767491831621045
hsa-miR-183-3p,8.486829065306662,-0.8249819202807936,0.3662839297713859,-2.2523017070273914,0.024303212369149164,0.28767491831621045
