sigMirIDs,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
hsa-miR-3940-3p,3.820352533356871,-1.884178688029343,0.4772335771575851,-3.9481268255506192,7.876507657738e-5,0.13657864278517692
hsa-miR-129-2-3p,8.012770336212649,-2.331064587617223,0.6633718907290436,-3.5139634648302485,0.00044147352875324605,0.3827575494290643
hsa-miR-149-5p,394.31819435598374,-0.8375375972949896,0.24917732651492347,-3.361211106199218,7.760148902770935e-4,0.3847819664969302
hsa-miR-320b,143.57878525020777,-1.4630706885503524,0.44016424902247814,-3.3239198590061703,8.876169930725033e-4,0.3847819664969302
hsa-miR-320a,2364.5576920821004,-1.0069004682439393,0.31716790753059015,-3.1746606271847537,0.001500118373069403,0.43001130301708584
hsa-miR-210-5p,16.00742532459956,-1.280823759579067,0.405038450807746,-3.162227578702196,0.0015656715224885527,0.43001130301708584
hsa-miR-3065-5p,9.520519028678368,-1.4854024990600716,0.4794682454700066,-3.0980205948862816,0.0019481788945087146,0.43001130301708584
hsa-miR-204-5p,542.8095193499405,-1.8189710672609747,0.5881629241901983,-3.092631297298096,0.001983904512189554,0.43001130301708584
hsa-miR-320c,31.64193546278638,-1.027428996750978,0.3447621641651469,-2.98010948863525,0.0028814537239844253,0.5466441103208803
hsa-miR-143-3p,46723.4495976938,0.8459747831925026,0.2865319310053101,2.9524625064451357,0.00315250351972826,0.5466441103208803
hsa-miR-92a-3p,27768.18941368536,-0.7184351617377577,0.250089072533805,-2.8727171261776956,0.0040695832308764055,0.6074023866648044
hsa-miR-3065-3p,10.444506129437533,-1.3575629769174098,0.4780753515435237,-2.839642270897997,0.004516415033737073,0.6074023866648044
hsa-miR-7706,26.140974268224724,-0.6592156314198313,0.2347268468898475,-2.808437297030568,0.004978257592054585,0.6074023866648044
hsa-miR-744-5p,170.88278252637645,-0.6917401173472445,0.24768512006955826,-2.792820647251562,0.005225065364596202,0.6074023866648044
hsa-miR-4520a-3p,1.220640541617457,-2.485971018846491,0.8971869461672063,-2.7708506342703605,0.005591006744137308,0.6074023866648044
hsa-let-7e-3p,19.05015229887782,-0.8500382981102124,0.31002659572060914,-2.741823797840405,0.006109910740941416,0.6074023866648044
hsa-let-7d-3p,153.18663672044036,-0.65933691154863,0.2414332898144696,-2.730927918247314,0.006315628329580783,0.6074023866648044
hsa-miR-375,614.6233321060593,-1.975975340323989,0.7250392574362635,-2.725335656045759,0.006423614664439076,0.6074023866648044
hsa-miR-28-5p,229.75036317974048,0.47613867546149347,0.17546337981694013,2.713607112539642,0.006655504813512851,0.6074023866648044
hsa-miR-532-5p,428.2071494679461,0.4109691600017981,0.15391600822853704,2.670087177622124,0.007583155569080132,0.6574595878392475
hsa-miR-1249,47.7739764706556,-1.3406469666468772,0.5074190865790269,-2.642090142263659,0.008239612310201948,0.6803565593281037
hsa-miR-2277-3p,2.339863542754428,-1.7444779712777567,0.667422723222496,-2.613752739575526,0.008955382067990512,0.7014233113247191
hsa-miR-3620-3p,2.894059956698514,-1.9976323723676321,0.7702928720574074,-2.5933413703181136,0.009504837498128521,0.7014233113247191
hsa-miR-424-5p,145.25348821231864,1.2324330245463389,0.47723730782628415,2.5824322707707257,0.009810661671586023,0.7014233113247191
hsa-miR-758-3p,8.046172245765442,1.080370245410044,0.4200590476958645,2.5719485185146276,0.010112792839168385,0.7014233113247191
hsa-miR-3168,38.29421980573771,-0.9743408936059604,0.383098909030236,-2.5433141954707597,0.01098064402291958,0.7035123014774981
hsa-miR-129-5p,2.729167068573404,-1.9803951496736083,0.7794896144496533,-2.5406305779607288,0.011065276616500945,0.7035123014774981
hsa-miR-1268b,7.103202264847366,-0.9937612976081774,0.3925701513659913,-2.5314234771805113,0.011360060231470558,0.7035123014774981
hsa-miR-4640-3p,3.825180634485583,-1.9370641492526721,0.7691494027604959,-2.5184497866090796,0.011787268922166371,0.7047973900357409
hsa-miR-574-3p,845.4177886631744,-0.9570723967917004,0.3877948740909037,-2.4679861976910797,0.013587555865604565,0.7661252103401993
hsa-miR-423-3p,1221.5125809865203,-0.5053633900482402,0.20612273874296386,-2.4517595347810266,0.014215962728917427,0.7661252103401993
hsa-miR-6795-3p,1.1486946052387508,-2.260364318729946,0.9255031440369477,-2.442308633194344,0.01459366442811836,0.7661252103401993
hsa-miR-483-3p,20.649392056455515,-1.401039075982429,0.5746323022889889,-2.4381488308289203,0.014762694549359596,0.7661252103401993
hsa-miR-125a-5p,9862.417641003265,-0.8990542991950304,0.370721204735873,-2.4251493783194245,0.015302088974859516,0.7661252103401993
hsa-miR-4532,1447.6930794872699,-1.09379021113104,0.4525216799819537,-2.417100129157701,0.01564471287001028,0.7661252103401993
hsa-miR-4429,3.5160631616961133,-1.300727565521174,0.539481041941327,-2.4110718716648414,0.015905713709485108,0.7661252103401993
hsa-miR-197-3p,473.26976619974454,-0.9881452130282662,0.414922389723086,-2.3815181766588736,0.017241439853355963,0.7818029601195284
hsa-miR-335-5p,85.19733791913838,1.0932954382977238,0.45976208491546,2.377959110087898,0.017408756263855716,0.7818029601195284
hsa-miR-664a-3p,266.35409468180507,-0.908356647367865,0.3825839444875866,-2.374267557370897,0.017583803601304272,0.7818029601195284
hsa-miR-2110,12.803388112956817,-0.9388328562764251,0.40103298922256364,-2.3410364770649714,0.019230288169485153,0.8044228052657215
hsa-miR-6511b-3p,10.544370160968455,-1.2546987736616213,0.5373802362890985,-2.3348435408157093,0.01955159568223752,0.8044228052657215
